Pressure [bar],Kp gain,Frequency [Hz],OBB front displacement [m],OBB rear displacement [m],Stand displacement [m],Stand arm displacement [m],OBB front phase [deg],OBB rear phase[deg],Stand phase [deg],Stand arm phase [deg],Piston amplitude [m],Tip amplitude [m],Tilt amplitude [m],Other modes amplitude [m]
-0.55,500,3,1.620890525998389e-06,1.6957013240759467e-06,2.418629914993779e-06,1.1665230672359797e-06,244.64003208747692,64.5791719700448,63.27933341085889,216.28416651629803,9.039538573896922e-07,1.0307179679406841e-08,1.1354752191948273e-07,1.9680615357634065e-08
-0.55,500,5,1.7265525950060796e-06,1.7978457979916024e-06,2.4238879507802333e-06,1.3566227819978152e-06,356.3952983294724,176.22269476564173,177.61787337451827,175.70752494838968,4.107159582709906e-07,5.601198176650963e-08,4.6236832848420136e-07,2.0777230539140324e-08
-0.55,500,7,1.8804615222927412e-06,1.9550399416201326e-06,2.507753677971822e-06,1.788273154749073e-06,109.98069792547284,289.82235404603756,290.44595970166034,292.2649503434827,2.2647819988755763e-07,1.2163992214365822e-07,7.438911352324376e-07,3.7676076477725435e-08
-0.55,500,10,1.4160105089364058e-06,1.4648152633409919e-06,1.8988976247895522e-06,1.3076107319027233e-06,260.4930657937698,80.33822564897129,80.63088684096735,81.35134182019922,4.072218548359404e-07,4.382671041438778e-08,2.4301912434441224e-06,3.0876126911210223e-08
-0.55,500,15,5.741296273614485e-06,5.864926887252458e-06,7.89514689120054e-06,2.9092171370273183e-06,95.58877291881997,275.48546176680514,275.71930541860695,279.2749004977493,1.9396718244479446e-06,8.873339933280338e-08,1.4355992261153349e-05,2.791775886041031e-07
-0.55,500,20,4.174262135143045e-06,4.22691179753669e-06,5.714324476293997e-06,4.1723593502714806e-07,50.13991324143354,230.0738730655266,230.5070593125581,26.28324679526171,1.703699397095028e-06,2.7478020587607435e-07,1.9947123872332707e-05,3.740210172461887e-07
-0.55,500,25,1.7825284957052803e-06,1.6800262087765683e-06,2.2958561459032907e-06,1.471127470376267e-06,280.9473095574983,101.58251421390348,102.21833207385608,278.1034131039027,6.931136610283168e-07,1.164065884712609e-07,4.6152698309872615e-06,8.114927682734503e-08
-0.55,500,30,6.950834042759483e-07,6.810375082508955e-07,9.244592821436199e-07,1.2211690557416279e-06,204.99424023343116,24.828690958477086,25.63867390198987,203.61529665269336,2.2953838816444654e-06,1.818966569295188e-07,2.7163356438402516e-06,7.710977286103472e-08
-0.55,400,3,1.6169342366943216e-06,1.6858078332944553e-06,2.2175935214341127e-06,1.0920862631924778e-06,242.37478162963822,61.90325784655598,51.105553675108986,199.88169695724136,4.7189161179424924e-07,2.2556116500273196e-09,1.5303637362613416e-07,1.7544265887276965e-08
-0.55,400,5,1.7201228940602409e-06,1.7915420911737515e-06,2.207320258500479e-06,1.2005392887515056e-06,23.71630217101041,203.52031736936456,201.86575745293462,197.10039877640517,9.218853686636482e-07,2.80872717907099e-08,6.128762719994246e-07,4.145104507675634e-09
-0.55,400,7,1.8719959997905352e-06,1.9473584475451474e-06,2.5884964051090223e-06,1.7985156576062032e-06,158.41294281076847,338.25015545311544,339.91945070922634,340.96365071091407,5.084638426716445e-07,2.015170567255511e-07,8.752796730955676e-07,2.8438442755188104e-08
-0.55,400,10,1.4151578417514142e-06,1.464672981296335e-06,1.9750105641919613e-06,1.2971144646178538e-06,271.54896273822595,91.40395469578539,91.24455814604231,92.93161756625909,6.864490170869851e-07,6.594179189230586e-08,3.0389774709777126e-06,5.337030545475612e-08
-0.55,400,15,5.7291617699927385e-06,5.855369667583756e-06,7.87910965845515e-06,2.8996506122985185e-06,71.89334707567868,251.79616746320147,251.9607636146151,256.02669161140193,2.269811327469798e-06,7.813947036707076e-08,1.4360543549465531e-05,2.668073190622718e-07
-0.55,400,20,4.181931033785003e-06,4.236344301349361e-06,5.723878910204247e-06,4.0984836048381375e-07,126.09525568666751,306.00428143254396,306.4559214398417,103.35250466234758,1.1270499109367845e-06,2.546080642385428e-07,1.670544021039126e-05,3.3404748780984015e-07
-0.55,400,25,1.7812810249525607e-06,1.678631041986647e-06,2.2889221398103015e-06,1.4696726222136476e-06,354.0084362714742,174.6289473294555,175.07550965997757,351.3305579429576,8.939284556979993e-07,1.3491915274844574e-07,4.563907591700446e-06,9.061661189058831e-08
